1,2017-03-11 6:11:34.001,START OF WORLD WAR 2
1,2017-03-11 6:11:34.002,Invasion of Poland
1,2017-03-11 6:11:34.003,Battle of Britain
1,2017-03-11 6:11:34.004,Germany invades USSR
1,2017-03-11 6:11:34.005,Japan Bombs Pearl Harbor
1,2017-03-11 6:11:34.006,Bataan Death March
1,2017-03-11 6:11:34.007,D-Day
1,2017-03-11 6:11:34.008,Victory in Europe
1,2017-03-11 6:11:34.009,Hiroshima and Nagasaki
1,2017-03-11 6:11:34.010,END OF WORLD WAR 2
2,2017-03-11 6:11:35.293,START OF WORLD WAR 2
2,2017-03-11 6:11:35.003,Battle of New York
2,2017-03-11 6:11:35.083,Battle of Britain
2,2017-03-11 6:11:35.265,Germany invades USSR
2,2017-03-11 6:11:35.606,Japan Bombs Pearl Harbor
2,2017-03-11 6:11:35.767,Bataan Death March
2,2017-03-11 6:11:35.998,D-Day
2,2017-03-11 6:11:36.113,Victory in Europe
2,2017-03-11 6:11:36.454,Hiroshima and Nagasaki
2,2017-03-11 6:11:36.553,END OF WORLD WAR 2
3,2017-03-11 6:51:30.001,START OF WORLD WAR 2
3,2017-03-11 6:51:30.002,Germany invades USSR
3,2017-03-11 6:51:30.003,Japan Bombs Pearl Harbor
3,2017-03-11 6:51:30.004,Bataan Death March
3,2017-03-11 6:51:30.005,Victory in Europe
3,2017-03-11 6:51:30.006,Hiroshima and Nagasaki
3,2017-03-11 6:51:30.007,END OF WORLD WAR 2
4,2017-03-11 07:09:04.001,START OF WORLD WAR 2
4,2017-03-11 07:09:04.002,Invasion of Poland
4,2017-03-11 07:09:04.003,Battle of Britain
4,2017-03-11 07:09:04.004,Germany invades USSR
4,2017-03-11 07:09:04.005,Japan Bombs Pearl Harbor
4,2017-03-11 07:09:04.006,Bataan Death March
4,2017-03-11 07:09:04.007,D-Day
4,2017-03-11 07:09:04.008,Victory in Europe
4,2017-03-11 07:09:04.009,Hiroshima and Nagasaki
4,2017-03-11 07:09:04.010,END OF WORLD WAR 2
5,2017-03-11 07:29:40.001,START OF WORLD WAR 2
5,2017-03-11 07:29:40.002,Battle of New York
5,2017-03-11 07:29:40.003,An unknown event 1
5,2017-03-11 07:29:40.004,An unknown event 2
5,2017-03-11 07:29:40.005,Battle of Britain
5,2017-03-11 07:29:40.006,Germany invades USSR
5,2017-03-11 07:29:40.007,Japan Bombs Pearl Harbor
5,2017-03-11 07:29:40.008,Bataan Death March
5,2017-03-11 07:29:40.009,D-Day
5,2017-03-11 07:29:40.010,Victory in Europe
5,2017-03-11 07:29:40.011,An unknown event 3
5,2017-03-11 07:29:40.012,Hiroshima and Nagasaki
5,2017-03-11 07:29:40.013,END OF WORLD WAR 2
